,timestamp,h,prediction,actual
87,2019-12-26 05:38:21,t+1,14.269959312762225,14.19
88,2019-12-26 06:08:25,t+1,14.258108593871064,13.74
89,2019-12-26 06:38:29,t+1,14.020845512033722,13.57
90,2019-12-26 07:08:34,t+1,13.588913232512441,13.1
91,2019-12-26 07:38:37,t+1,14.01070971031622,13.29
92,2019-12-26 08:08:42,t+1,12.87408551928039,13.39
93,2019-12-26 08:38:47,t+1,13.332005215478535,13.8
94,2019-12-26 09:08:54,t+1,13.94866473513108,14.02
95,2019-12-26 09:38:58,t+1,14.443931762946823,14.28
96,2019-12-26 10:09:02,t+1,14.784809491990304,14.56
97,2019-12-26 10:39:06,t+1,15.07573341710564,14.83
98,2019-12-26 11:09:10,t+1,15.300127134442418,14.46
99,2019-12-26 11:39:15,t+1,15.232342006476335,14.37
100,2019-12-26 12:09:19,t+1,14.154270564069286,14.39
101,2019-12-26 12:39:23,t+1,14.526814247834741,14.470000000000002
102,2019-12-26 13:09:27,t+1,14.591848249690441,14.470000000000002
103,2019-12-26 13:39:31,t+1,14.61602727071387,14.660000000000002
104,2019-12-26 14:09:37,t+1,14.799123272852391,15.130000000000003
105,2019-12-26 14:39:44,t+1,14.638420387235332,14.96
106,2019-12-26 15:09:48,t+1,15.120417823632922,14.4
107,2019-12-26 15:39:52,t+1,14.543439384795008,14.160000000000002
108,2019-12-26 16:09:56,t+1,14.008950619060837,13.13
109,2019-12-26 16:40:01,t+1,13.771370019021314,12.31
110,2019-12-26 17:10:05,t+1,12.006962218757506,11.65
111,2019-12-26 17:40:09,t+1,11.23561738421496,10.78
112,2019-12-26 18:10:13,t+1,10.736646240519457,9.820000000000002
113,2019-12-26 18:40:17,t+1,10.331189012491096,9.44
114,2019-12-26 19:10:21,t+1,9.306482471882243,8.410000000000002
115,2019-12-26 19:40:25,t+1,8.854175451123524,7.049999999999999
116,2019-12-26 20:10:29,t+1,7.957473772388293,6.55
117,2019-12-26 20:40:33,t+1,6.812518289244048,6.61
118,2019-12-26 21:10:38,t+1,5.960874992583785,6.420000000000001
119,2019-12-26 21:40:42,t+1,6.853945767756694,6.169999999999999
120,2019-12-26 22:10:46,t+1,5.806887932093545,5.55
121,2019-12-26 22:40:51,t+1,6.3380401154987,5.430000000000001
122,2019-12-26 23:10:55,t+1,4.1404432045041135,5.27
123,2019-12-26 23:40:59,t+1,5.636094890526351,5.260000000000001
124,2019-12-27 00:11:04,t+1,5.7850392235062715,4.74
125,2019-12-27 00:41:08,t+1,4.8467463645947495,4.67
126,2019-12-27 01:11:12,t+1,4.530481970366675,4.2
127,2019-12-27 01:41:16,t+1,4.513242559425941,3.8000000000000007
128,2019-12-27 02:11:20,t+1,3.945486713265157,3.97
129,2019-12-27 02:41:25,t+1,3.560853796975945,4.18
130,2019-12-27 03:11:29,t+1,4.701330729047067,3.61
131,2019-12-27 03:41:33,t+1,4.995046352545466,3.7000000000000006
132,2019-12-27 04:11:37,t+1,3.2574275231032384,3.4299999999999997
133,2019-12-27 04:41:41,t+1,3.532369082212672,2.9100000000000006
134,2019-12-27 05:11:45,t+1,3.181844279082369,3.8500000000000005
135,2019-12-27 05:41:49,t+1,3.0997741470073383,2.6600000000000006
136,2019-12-27 06:11:54,t+1,3.898290670469238,2.5099999999999993
137,2019-12-27 06:41:59,t+1,2.0054430203020415,3.3400000000000003
138,2019-12-27 07:12:03,t+1,2.4388732771216977,3.3400000000000003
139,2019-12-27 07:42:07,t+1,3.5947278223610915,3.500000000000001
140,2019-12-27 08:12:11,t+1,3.8068563346611444,4.74
141,2019-12-27 08:42:15,t+1,3.6814806303791867,6.68
142,2019-12-27 09:12:19,t+1,5.50161407139206,6.46
143,2019-12-27 09:42:24,t+1,7.469406876517514,8.09
144,2019-12-27 10:12:27,t+1,7.055597996398715,9.15
145,2019-12-27 10:42:32,t+1,9.093645054339131,10.130000000000003
146,2019-12-27 11:12:36,t+1,10.073597078232192,10.889999999999999
147,2019-12-27 11:42:40,t+1,10.595395334844389,11.61
148,2019-12-27 12:12:44,t+1,10.874823646192636,12.72
149,2019-12-27 12:42:48,t+1,11.928821690704925,12.67
150,2019-12-27 13:12:52,t+1,13.266192647005957,13.63
151,2019-12-27 13:42:56,t+1,12.97338055989474,13.280000000000001
152,2019-12-27 14:13:00,t+1,14.344045079529922,13.34
153,2019-12-27 14:43:04,t+1,13.3776937691276,13.059999999999999
154,2019-12-27 15:13:08,t+1,13.605177523683622,13.04
155,2019-12-27 15:43:12,t+1,12.390871543961234,12.85
156,2019-12-27 16:13:17,t+1,12.83849532975364,12.01
157,2019-12-27 16:43:21,t+1,11.967961793315439,11.36
158,2019-12-27 17:13:28,t+1,11.124160147110782,10.330000000000002
159,2019-12-27 17:43:32,t+1,10.480111312958392,9.8
160,2019-12-27 18:13:36,t+1,9.334875317032008,8.09
161,2019-12-27 18:43:43,t+1,9.341695120285063,7.76
162,2019-12-27 19:13:47,t+1,7.265427691571866,7.82
163,2019-12-27 19:43:52,t+1,7.240806386924422,6.87
164,2019-12-27 20:13:56,t+1,7.289309176993548,7.360000000000001
165,2019-12-27 20:44:00,t+1,6.536424461843103,5.96
166,2019-12-27 21:14:04,t+1,7.840797291901937,5.69
167,2019-12-27 21:44:09,t+1,5.9350988028023535,5.509999999999999
168,2019-12-27 22:14:13,t+1,5.110495861612221,5.68
169,2019-12-27 22:44:16,t+1,5.4055823019204485,5.39
170,2019-12-27 23:14:20,t+1,4.3875484904898645,6.390000000000001
171,2019-12-27 23:44:24,t+1,5.8016781515845866,5.47
172,2019-12-28 00:14:28,t+1,7.331661415534478,5.260000000000001
173,2019-12-28 00:44:32,t+1,4.836001475388819,5.05
174,2019-12-28 01:14:37,t+1,4.8942430854784185,5.91
175,2019-12-28 01:44:41,t+1,4.719699862912097,6.25
176,2019-12-28 02:14:45,t+1,6.005509990133822,4.79
177,2019-12-28 02:44:49,t+1,6.338226726068037,4.82
